name,depth
Atlantic Ocean,9219
Mediterranean Sea,5267
Black Sea,2211
Marmara Sea,1355
Sea of Azov,100
The Channel,175
Irish Sea,272
North Sea,200
Skagerrak,725
Kattegat,94
Baltic Sea,459
Norwegian Sea,3970
Greenland Sea,4846
Arctic Ocean,5608
Barents Sea,450
White Sea,340
Kara Sea,620
Laptev Sea,2980
East Sibirian Sea,155
Chukchi Sea,
Bering Sea,4096
Hudson Bay,258
Labrador Sea,4316
Baffin Bay,2905
Gulf of Mexico,4375
Caribbean Sea,7240
Lago de Maracaibo,50
Pacific Ocean,11034
San Francisco Bay,
Gulf of California,
Sea of Okhotsk,3372
Sea of Japan,4036
Seto Inland Sea,105
Yellow Sea,200
East China Sea,2370
South China Sea,5420
Gulf of Thailand,80
Indian Ocean,6400
Arabian Sea,4650
Gulf of Oman,3350
Persian Gulf,102
Red Sea,2635
Gulf of Aden,3680
Gulf of Bengal,4045
Andaman Sea,3113
Malakka Strait,104
Java Sea,2333
Banda Sea,7440
Sulawesi Sea,6218
Sulu Sea,6218
Savu Sea,3500
Timor Sea,3300
Arafura Sea,3680
Coral Sea,7661
Solomon Sea,9140
Tasman Sea,5200
